"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","33NF62TLXK34KDQHD1QC72UV747JK2","A1MQZ2XN4MJRY8","Approved","Mon Aug 14 14:37:17 PDT 2017","Mon Aug 14 14:43:14 PDT 2017","Thu Aug 17 14:43:14 PDT 2017","Tue Aug 15 09:14:54 PDT 2017","","","357","100% (1/1)","100% (1/1)","100% (1/1)","88se3X2j6y"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","36V4Q8R5ZL1GWOUXT3N1JGYLA4UQM5","A1Y5K712AYZEH2","Approved","Mon Aug 14 14:37:15 PDT 2017","Mon Aug 14 14:44:12 PDT 2017","Thu Aug 17 14:44:12 PDT 2017","Tue Aug 15 09:14:54 PDT 2017","","","417","100% (1/1)","100% (1/1)","100% (1/1)","9Z6mTaVxcu"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","36ZN444YTSZRFTRQTBX52IW4EUSOIF","AWXIEV9H6KT9E","Approved","Mon Aug 14 14:37:16 PDT 2017","Mon Aug 14 14:48:42 PDT 2017","Thu Aug 17 14:48:42 PDT 2017","Tue Aug 15 09:14:54 PDT 2017","","","686","100% (1/1)","100% (1/1)","100% (1/1)","AWXIEV9H6KT9E"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","39RP059MEIUTSIS8ALQBOR3MO4TMBP","A2DWPP1KKAY0HG","Approved","Mon Aug 14 14:37:12 PDT 2017","Mon Aug 14 14:47:33 PDT 2017","Thu Aug 17 14:47:33 PDT 2017","Tue Aug 15 09:14:54 PDT 2017","","","621","100% (1/1)","100% (1/1)","100% (1/1)","2w7NYa45K4"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","3CPLWGV3MP0GM7YBO2RFA0XW5U19N3","A2CF2BD4Q0ZDJN","Approved","Mon Aug 14 14:41:22 PDT 2017","Mon Aug 14 14:51:09 PDT 2017","Thu Aug 17 14:51:09 PDT 2017","Tue Aug 15 09:14:54 PDT 2017","","","587","100% (1/1)","100% (1/1)","100% (1/1)","w2451VEw4v"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","3G5F9DBFOQYM9IP3O51YXYPXAAAVHV","A2F2DDH12YU4AK","Approved","Mon Aug 14 14:49:31 PDT 2017","Mon Aug 14 14:54:40 PDT 2017","Thu Aug 17 14:54:40 PDT 2017","Tue Aug 15 09:14:54 PDT 2017","","","309","100% (1/1)","100% (1/1)","100% (1/1)","h8Wj8h4Ray"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","3GGAI1SQEWZC2NKEOLM6ZB946PTMCW","A3SGNSLG6DNY7B","Approved","Mon Aug 14 14:37:16 PDT 2017","Mon Aug 14 14:41:23 PDT 2017","Thu Aug 17 14:41:23 PDT 2017","Tue Aug 15 09:14:55 PDT 2017","","","247","100% (2/2)","100% (2/2)","100% (2/2)","YD8q170oPF"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","3HWRJOOET63UXGHX49ON188DJQQESV","A317L37U2W6R4P","Approved","Mon Aug 14 15:10:25 PDT 2017","Mon Aug 14 15:14:56 PDT 2017","Thu Aug 17 15:14:56 PDT 2017","Tue Aug 15 09:14:55 PDT 2017","","","271","100% (1/1)","100% (1/1)","100% (1/1)","JJ4MwQf8kY"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","3KJYX6QCMACI0OKTC54J9B5CN2EVJ0","A12J4IRF5Z06BT","Approved","Mon Aug 14 14:37:16 PDT 2017","Mon Aug 14 14:43:56 PDT 2017","Thu Aug 17 14:43:56 PDT 2017","Tue Aug 15 09:14:55 PDT 2017","","","400","100% (2/2)","100% (1/1)","100% (1/1)","xcA9616S8O"
"382GHPVPHTS5YD1VZM57WUTNDMV436","39P6QDR00S53AM0HS7HWFDPRQCRMDI","Labeling sentences for Self-Disclosure","Label a set of sentences with a particular type of conversational move.","rating, tutoring, self-disclosure","$1.50","Mon Aug 14 14:32:29 PDT 2017","10","BatchId:2906775;OriginalHitTemplateId:920937340;","720","259200","Mon Aug 21 14:32:29 PDT 2017","","","3NLZY2D53QQWQ6CCTRMMJ3JWAZ4QL3","AA4KKLIU4C3NY","Approved","Mon Aug 14 14:37:15 PDT 2017","Mon Aug 14 14:47:12 PDT 2017","Thu Aug 17 14:47:12 PDT 2017","Tue Aug 15 09:14:55 PDT 2017","","","597","100% (1/1)","100% (1/1)","100% (1/1)","i0Jh7WCFLm"