Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,Time,P2,SD_P1_Michelina,SD_P2_Michelina,SD_Notes_Michelina
24:49.0,24:50.0,,,Colfax,,SD,
24:50.6,24:51.2,oh nice,,,,,
24:54.9,25:01.3,so do you pause filler do you remember any of the upperclassmen guy that I had last year,,,QE,,
25:02.4,25:04.7,,,upperclassmen pause filler yeah a few of them,,SD,
25:04.7,25:10.8,,,who are you thinking in particular,,,
25:13.3,25:14.8,I don't know,,,,,
25:14.8,25:19.5,I know most of the kids from Colfax pause filler and on Dice now so,,,,,
25:19.9,25:22.3,,,what about Cal,,QE,
25:22.3,25:24.0,oh yeah I know Cal (laughter),,,SD,,
25:25.4,25:30.1,he did a presentation today in class pause filler on his quadcopter,,,,,
25:30.1,25:31.3,it's really cool,,,,,
25:32.0,25:34.4,he crashed it though,,,,,
25:34.4,25:34.5,,,oh,,,
25:34.8,25:37.9,not really yeah yeah,,,,,
25:39.0,25:46.2,,,yup and pause filler I imagine you know Tim Danger or Danger Danger,,,
25:46.2,25:47.5,pause filler I don't I don't,,,,,
25:47.5,25:48.7,,,oh you don't,,,
25:50.8,25:53.3,,,yeah actually (inaudible) well if Allderdice,,,
25:53.5,25:58.4,,,but pause filler basically his wills annoying bigger brother,,,
25:58.4,26:07.8,,,Will (inaudible) is annoying bigger brother that on Allderdice I think,,,
26:07.8,26:08.4,I know Will,,,SD,,
26:08.9,26:11.9,I don't know Tim though,,,SD,,
26:11.9,26:13.3,,,really you know Will,,,
26:13.9,26:17.5,yup he does band,,,,,
26:17.6,26:18.6,so I met him there,,,,,
26:19.3,26:19.6,,,oh nice,,,
26:20.2,26:23.7,but I do not know Tim,,,,,
26:25.3,26:25.8,,,yup,,,
26:29.1,26:29.6,do you know pause filler Kozuma,,,QE,,
26:29.6,26:30.5,,,Kozuma as in,,,
26:31.0,26:33.5,,,is that a ninth grader,,,
26:35.2,26:35.7,yeah,,,,,
26:35.7,26:39.8,,,I don't know a lot of the ninth graders,,SD,
26:40.8,26:45.6,,,his name is familiar but,,,
26:47.8,27:09.3,so I'm pretty sure you're going to be able to tutor now so,,,,,
27:10.5,27:10.6,,,yeah,,,
27:12.1,27:13.9,you get all the power,,,,,
27:13.9,27:23.1,,,well so you'll be glad to get out of here,,SD,well honesty i'll be glad to get out of here
27:23.1,27:27.5,,,I kind of feel bad for breaking the stylus thing,,SD,
27:33.1,27:33.5,oh well,,,,,
27:38.0,27:48.3,,,yeah and I almost feel partially responsible for making all of this weird stuff happen like the server exploding,,SD,
27:48.3,27:48.5,yeah,,,,,
27:48.5,27:48.9,,,there there there there,,,
27:48.9,27:52.7,,,why isn't it,,,
27:52.8,28:03.4,,,I'm just not even going to touch it,,,
28:04.8,28:04.9,,,aw,,,
28:06.2,28:16.1,,,they must be like trembling around like mad to try to get this fixed,,,
28:16.5,28:16.8,yeah,,,,,
28:17.2,28:17.5,,,hi,,,
28:47.9,28:55.7,,,again I'm very sorry,,,
28:55.9,28:57.6,,,I'm very sorry,,,
29:12.7,29:13.0,okay,,,,,
29:41.5,29:43.3,,,okay I'll do this okay okay,,,
29:42.9,41:56.4,,T2 ,,,,
30:04.1,30:05.6,all right thank you,,,,,
30:07.7,30:09.1,I'll skip these ten problems,,,,,
30:09.1,30:09.4,done,,,,,
30:09.4,30:11.5,all right what do we have,,,,,
30:12.0,30:15.5,,,so negative three plus the x equals the twenty-two,,,
30:15.5,30:18.1,,,well I suppose you probably know what to do,,,
30:18.1,30:21.7,,,that was a lot for me to do this number,,,
30:21.7,30:23.1,,,it's really important,,,
30:23.2,30:28.0,,,it's a really important number right there,,,
30:28.0,30:29.0,what are you doing,,,,,
30:29.5,30:30.4,,,oh crap,,,
30:30.8,30:31.7,you are curse,,,,,
30:33.7,30:36.2,,,why am I allowed to undo your Scribbles,,,
30:36.2,30:38.5,,,okay okay x equals twenty-five,,,
30:38.6,30:39.9,,,we're just going to leave it that (laughter),,,
30:40.8,30:41.5,yup that's,,,,,
30:42.5,30:44.4,,,all right negative y plus eight,,,
30:44.8,30:48.9,,,what the what am I what's going ah,,,
30:48.9,30:51.6,so I assume I want to pause filler subtract eighteen first,,,,,
30:52.2,30:53.9,,,yup or subtract the eighteen,,,
30:55.1,30:59.0,and then what do we get there pause filler,,,,,
30:59.3,30:59.8,,,well you'd get pause filler,,,
31:00.6,31:00.7,five,,,,,
31:00.8,31:03.3,,,twenty-three minus eighteen is that five,,,
31:03.3,31:05.2,,,yeah I think that is five,,,
31:05.2,31:07.3,,,the answer is five,,,
31:07.3,31:14.7,and then just multiply by negative one because you don't want a negative variable so,,,,,
31:14.9,31:18.5,,,we'll leave it y equals negative five,,,
31:18.5,31:19.9,perfect,,,,,
31:20.5,31:22.1,,,that's it,,,
31:22.1,31:23.9,oh I skipped one my bad,,,,,
31:24.4,31:27.3,,,all right negative k minus fourteen,,,
31:28.5,31:31.2,,,ah this time you have two variables,,,
31:31.2,31:33.6,,,so you'll have to like get rid of one of them,,,
31:33.7,31:35.3,,,I recommend adding it makes it easier,,,
31:35.8,31:37.1,yeah I'll add by k,,,,,
31:38.0,31:38.1,,,okay,,,
31:38.2,31:46.0,and then I get negative fourteen equals thirty-six,,,,,
31:46.5,31:49.1,,,plus two k I think all right yeah,,,
31:51.8,31:54.5,and then add fourteen,,,,,
31:55.6,31:57.0,,,pause filler you could add fourteen,,,
31:57.0,31:59.1,,,but I'd recommend subtracting them,,,
31:59.1,32:01.0,oh yeah yeah yeah mine just only do that yeah,,,,,
32:01.4,32:01.7,,,yeah,,,
32:05.5,32:07.1,and then I'm going to get,,,,,
32:08.3,32:12.2,pause filler what am I going to get here,,,,,
32:13.3,32:16.1,,,pause filler negative fifty no,,,
32:16.1,32:19.2,yeah negative fifty because yeah,,,,,
32:19.2,32:19.4,,,yup,,,
32:19.8,32:21.5,negative fifty,,,,,
32:22.9,32:24.5,,,equals two k right,,,
32:24.7,32:26.6,yup and divide,,,,,
32:27.6,32:37.6,,,by two and you like thing good five solve next,,,
32:39.0,32:40.5,pause filler again two variables,,,,,
32:40.5,32:45.0,I'll do the same thing as the last time add p,,,,,
32:45.8,32:49.3,,,so then you get two b,,,
32:49.8,32:52.2,,,or two b equals thirteen yeah,,,
32:52.3,32:54.4,then I'll subtract that,,,,,
32:54.4,32:55.2,and I get here,,,,,
32:56.4,32:58.7,,,so then you'd get four I believe,,,
32:58.8,32:59.5,oh yeah four,,,,,
32:59.6,33:00.3,oops undo,,,,,
33:05.6,33:05.8,yeah,,,,,
33:06.7,33:07.5,,,yup,,,
33:07.9,33:10.9,four equals two b,,,,,
33:11.3,33:13.5,b equals two,,,,,
33:14.2,33:14.4,,,good,,,
33:14.4,33:15.5,is that all good,,,,,
33:15.5,33:16.8,,,yup pretty sure so,,,
33:17.5,33:18.0,,,oh yeah,,,
33:20.0,33:23.6,,,I can do this thing,,,
33:23.6,33:23.9,all right pause filler,,,,,
33:23.9,33:27.1,,,negative nine g equals eighty-one huh,,,
33:27.1,33:32.1,so first I want to make the variable positive right,,,,,
33:32.8,33:33.9,,,yeah I think that's reasonable,,,
33:36.3,33:47.4,,,nine g equals eighty-one or negative eighty-one,,,
33:47.4,33:52.1,I'm just going to make that negative,,,,,
33:52.1,33:54.5,yup that's negative that's all,,,,,
33:54.5,33:54.8,,,yup (inaudible),,,
33:55.0,34:00.0,all right and then g would equal negative nine,,,,,
34:01.0,34:06.5,,,yup because you just divide it by the eighty-one,,,
34:06.5,34:07.4,exactly yup,,,,,
34:07.5,34:07.7,oops,,,,,
34:07.7,34:12.1,,,okay well skip,,,
34:12.1,34:12.4,,,okay,,,
34:12.4,34:15.6,,,so eighty-two equals negative eight y plus ten,,,
34:16.4,34:16.9,two,,,,,
34:18.4,34:20.8,is this correct,,,,,
34:20.8,34:22.3,I'm just making sure,,,,,
34:22.3,34:23.9,,,yup I think so yup pretty sure,,,
34:23.9,34:26.4,and then multiply it by negative one,,,,,
34:26.7,34:29.3,and I'm going to get myself up on this side,,,,,
34:29.3,34:40.2,so multiply equals negative just let me do divide it by eight,,,,,
34:41.5,34:44.4,and that's nine yeah,,,,,
34:45.8,34:48.3,y equals nine,,,,,
34:49.6,34:52.7,,,okay next oh try,,,
34:52.7,34:54.2,we're really good at skipping things,,,,,
34:54.9,34:58.5,,,yeah because we both go for the thing okay,,,
34:58.5,34:59.9,so,,,,,
35:00.7,35:02.3,,,because this is only one variable,,,
35:02.3,35:08.1,,,so we should just get rid of the constant on the right side or on the side with the variable or,,,
35:09.7,35:12.9,,,so pause filler a hundred seven minus sixty-five,,,
35:12.9,35:14.1,,,I'll have to do math,,,
35:14.1,35:16.3,,,oh wait no you'll have to do math uh-huh,,,
35:16.3,35:18.2,oh I have to do math,,,,,
35:19.4,35:23.3,one o seven sixty-five,,,,,
35:26.1,35:27.3,we got two,,,,,
35:27.8,35:30.8,and we got four,,,,,
35:30.8,35:33.1,oh yeah yeah oh I did that wrong,,,,,
35:33.5,35:34.4,I suck at,,,,,
35:34.7,35:36.4,,,no you did that right,,,
35:36.7,35:37.7,,,I think you did,,,
35:37.7,35:38.4,,,I'm certain you did,,,
35:38.4,35:39.5,,,yes you did,,,
35:39.6,35:40.8,,,I felt very badly,,,
35:41.3,35:44.6,yeah so yup yup yup,,,,,
35:45.4,35:46.0,pause filler forty-two,,,,,
35:46.8,35:47.5,so forty-two,,,,,
35:47.5,35:52.2,anyway we'll just do negative forty-two because we're going to multiply it by negative one,,,,,
35:52.2,35:55.9,,,yup five equals x or fourteen x,,,
35:56.2,35:57.5,equals fourteen x,,,,,
35:58.0,36:00.6,and it's three I'm guessing,,,,,
36:00.7,36:01.1,yeah x,,,,,
36:01.4,36:03.1,I'm just doing it in my head,,,,,
36:03.1,36:05.7,pause filler I guess x equals three,,,,,
36:05.7,36:11.1,,,x equals three I'm not so sure because forty-two divided by fourteen,,,
36:12.0,36:15.5,would it equal I don't feel it's not going to be two,,,,,
36:15.5,36:20.4,,,let's see I know you can turn this to seven,,,
36:20.7,36:21.0,well no,,,,,
36:21.0,36:24.7,,,yeah yeah this is pause filler twenty-one over seven,,,
36:24.8,36:27.5,,,oh which means it's one over wait one over three,,,
36:29.0,36:29.3,so,,,,,
36:29.5,36:30.6,,,no yeah I think you're right,,,
36:30.6,36:31.9,,,it is three oh wait yeah,,,
36:32.2,36:35.0,all right we could always guess and check,,,,,
36:35.0,36:36.9,but I'm pretty sure yeah,,,,,
36:37.6,36:38.7,so let's move on,,,,,
36:38.7,36:40.2,,,yeah that's three over one yup,,,
36:41.5,36:43.2,oh lots of negatives,,,,,
36:43.7,36:46.1,so let's do this first,,,,,
36:46.1,36:47.5,,,start by adding yup,,,
36:48.5,36:56.5,pause filler yeah seventy-five equals negative nine k,,,,,
36:57.6,37:06.8,and let's negative seventy nine k,,,,,
37:09.5,37:10.5,which is,,,,,
37:12.2,37:13.6,feel like,,,,,
37:16.9,37:19.1,so five right,,,,,
37:20.0,37:21.4,so k equals negative five,,,,,
37:23.4,37:25.7,,,all right wait,,,
37:25.7,37:27.8,is that correct wait no no not five,,,,,
37:27.8,37:29.4,,,is that twenty-five,,,
37:30.0,37:30.6,twenty-five,,,,,
37:31.6,37:33.6,,,can you divide twenty-five by three no,,,
37:34.9,37:36.0,well we're doing,,,,,
37:36.0,37:38.8,,,simplify it up,,,
37:38.8,37:39.4,we're doing,,,,,
37:40.5,37:43.0,negative seventy-five divided by nine,,,,,
37:43.1,37:44.1,,,well it's seventy-five,,,
37:44.1,37:45.0,,,I thought it was twenty-five,,,
37:45.8,37:46.5,yeah sorry,,,,,
37:47.2,37:49.3,seventy-five so,,,,,
37:49.3,37:54.5,,,seventy-five I think it's only seventy-five nines because I don't think you can divide it by three or anything for nine,,,
37:56.1,38:01.8,,,let's see if you divide it by nine it would be pause filler oh wait it's things line up to nine,,,
38:01.8,38:02.6,,,and they go,,,
38:02.6,38:03.3,,,so no,,,
38:04.6,38:06.0,,,and if you added it up,,,
38:06.0,38:11.6,,,and if it were divisible by three that would be divisible by three,,,
38:11.6,38:14.3,,,oh wait no it is divisible by three twenty-five,,,
38:15.1,38:16.5,so oh yeah twenty-five,,,,,
38:17.1,38:18.8,and then just do twenty so,,,,,
38:18.9,38:20.5,,,twenty-five over three,,,
38:20.5,38:21.5,twenty-five over three,,,,,
38:21.6,38:26.7,and I don't think you can simplify that anymore,,,,,
38:26.7,38:30.0,,,yeah I don't think it can get simplified any more than that,,,
38:30.0,38:30.7,,,twenty-five over three,,,
38:30.7,38:32.6,and (inaudible) really quickly just say that we,,,,,
38:33.2,38:35.9,,,yeah (inaudible) did that yup,,,
38:36.2,38:38.8,yeah something like that there,,,,,
38:39.6,38:41.1,,,say something that just looks like math,,,
38:41.1,38:42.5,,,so it looks like we did something,,,
38:42.5,38:45.4,all right pause filler so you look first,,,,,
38:45.4,38:46.9,let's add fifteen first,,,,,
38:47.9,38:55.3,,,yup again negative two equal ninety minus sixteen right,,,
38:56.8,38:57.8,yup,,,,,
38:58.2,39:01.6,,,and then you would add the sixteen,,,
39:06.1,39:07.2,exactly,,,,,
39:11.3,39:16.0,pause filler sixteen so forty-eight,,,,,
39:16.7,39:19.9,no forty-six negative forty-six,,,,,
39:20.1,39:21.9,,,no no no because they're both negative right,,,
39:22.8,39:24.9,oh yeah no no no no this is negative,,,,,
39:24.9,39:26.5,and so I'm adding it right,,,,,
39:27.5,39:28.3,,,okay you're adding it,,,
39:28.4,39:29.5,,,okay I forgot about that,,,
39:30.9,39:32.7,,,yeah then you'd be right,,,
39:32.9,39:34.4,,,so yeah it would be forty-six right,,,
39:34.4,39:35.9,,,I think so let me think (sfx),,,
39:37.0,39:39.4,wait no I don't think it's forty-six,,,,,
39:39.6,39:46.9,,,pause filler actually you would be thirty-six right because it would be thirty-six because you'd go,,,
39:46.9,39:49.2,,,yeah I think it would be thirty-six yeah,,,
39:50.4,39:54.0,yeah and so p would equal four,,,,,
39:55.9,39:59.1,,,that's yup let me just check if that's right,,,
39:59.1,40:01.3,,,the problems it's nine,,,
40:01.3,40:02.3,number nine yeah,,,,,
40:02.4,40:06.3,you can always yeah check it,,,,,
40:04.0,40:05.0,,,pause filler,,,
40:06.3,40:12.3,,,okay this thing no this isn't even the right question,,,
40:12.3,40:13.7,,,okay it's not even the right question,,,
40:13.7,40:14.8,,,okay whatever sure,,,
40:15.8,40:17.3,,,let's just say that,,,
40:20.2,40:21.4,oh boy all right,,,,,
40:21.5,40:23.2,,,this is just going to be interesting,,,
40:24.4,40:25.5,first thing's first,,,,,
40:25.7,40:28.3,,,get rid of the W weird things on both sides,,,
40:28.3,40:29.9,,,so fourteen Ws yes,,,
40:30.7,40:37.7,,,so that would mean forty w plus nineteen equals negative one forty-one,,,
40:38.1,40:39.5,,,oh my god,,,
40:41.3,40:42.1,okay wait pause filler,,,,,
40:42.3,40:45.4,,,it's forty because pause filler you add the one,,,
40:45.5,40:49.6,,,and you had the nones pause filler,,,
40:49.7,40:54.8,okay and then minus subtract I mean pause filler nineteen,,,,,
40:55.1,40:55.7,gosh,,,,,
40:57.6,40:59.1,and then it's negative,,,,,
40:59.1,41:02.8,so it's negative one sixty,,,,,
41:03.5,41:06.9,,,I really hope this data is worth a lot,,SD,
41:06.9,41:09.0,,,I hope this data is work stuff,,,
41:09.3,41:10.0,,,we work stuff data,,,
41:10.0,41:16.5,am I doing this correctly,,,,,
41:17.0,41:17.6,,,I think so,,,
41:18.2,41:18.6,,,okay,,,
41:18.6,41:25.0,,,yup one sixty and,,,
41:25.0,41:27.2,,,so you divide it by forty,,,
41:27.3,41:32.9,,,and one sixty divided four it's like wait four times,,,
41:32.9,41:35.5,I'm just going to count in my yeah,,,,,
41:35.8,41:36.3,it's four,,,,,
41:36.3,41:36.8,it's four yeah,,,,,
41:36.9,41:37.4,,,yes it's four,,,
41:37.4,41:38.7,,,yeah it's four I believe it's four,,,
41:38.7,41:41.0,,,it's negative or yeah it's negative,,,
41:41.0,41:42.2,it is negative two yeah,,,,,
41:42.6,41:42.8,,,yup,,,
41:43.1,41:43.7,negative four,,,,,
41:44.7,41:46.5,,,okay oh stop,,,
41:46.5,41:47.7,love it,,,,,
41:49.7,41:54.0,,,pause filler you want to be the one to get them or,,,
41:54.0,41:54.6,I'll do it,,,,,
41:54.6,41:56.3,,,yeah it hasn't crashed this time so,,,
41:56.4,42:00.6,,,it's always good,,,
42:02.6,42:18.2,,,pretty typical that we don't have twenty-two,,,
42:18.2,42:24.8,,,you've gone to the page that is paged,,,
42:25.7,42:25.9,,,good,,,
42:29.4,42:31.2,,,bonus round nice,,,
42:44.2,42:44.6,,,good,,,
42:50.1,42:53.5,,,well so this time we don't get the guide worksheet,,,
42:50.7,49:54.5,,T2 ,,,,
42:54.3,42:54.8,,,like whoop,,,
42:54.8,42:58.0,,,all right so we have Ys on both sides,,,
42:58.0,42:59.4,,,so we have to fix that right,,,
43:00.4,43:00.6,yeah,,,,,
43:01.5,43:08.7,,,so pause filler yeah I think we know what we're doing right,,,
43:08.7,43:09.5,yeah,,,,,
43:09.5,43:10.2,,,negative sixty-three pause filler,,,
43:10.2,43:11.0,,,so two y yup,,,
43:11.0,43:15.2,,,and then subtract the thing on that side,,,
43:15.2,43:19.7,,,you get hundred and six I think,,,
43:19.8,43:20.5,Yep,,,,,
43:20.2,43:21.6,,,yeah negative hundred six,,,
43:21.7,43:26.5,,,negative hundred six equals two y between that is y equals,,,
43:28.7,43:31.0,,,pause filler negative six divided by pause filler,,,
43:31.6,43:34.8,wait it would be like pause filler fifty-three negative fifty-three,,,,,
43:35.2,43:37.1,,,okay that would be fifty-three,,,
43:37.1,43:40.7,,,it's quite simplistic and my dear Watson,,,
43:41.2,43:48.0,,,and I'm pause filler Sherlock or whatever Sherlock Holmes,,,
43:48.7,43:54.9,,,okay pause filler this thing yes negative one eighty-two minus p equals forty-eight plus p,,,
43:54.9,43:57.4,,,so we have like the weird Ps on both sides,,,
43:58.8,44:01.2,,,forty-eight plus p two p right yeah,,,
44:01.7,44:03.7,,,let's do this,,,
44:03.7,44:08.4,,,pause filler and is that negative or no it's,,,
44:08.4,44:08.6,no,,,,,
44:09.1,44:10.1,,,yeah so it's positives,,,
44:10.1,44:11.9,,,so you just subtract it again right,,,
44:12.4,44:12.6,yeah,,,,,
44:13.1,44:15.5,,,so then on that side it would be,,,
44:15.5,44:16.0,,,negative,,,
44:16.0,44:18.3,,,it would be negative quantity,,,
44:19.0,44:21.1,wait wait wait I think I got it,,,,,
44:21.1,44:22.2,but you can go ahead,,,,,
44:22.2,44:26.0,,,it would be like negative quantity one and two plus forty-eight,,,
44:26.5,44:26.8,,,so thirty-two,,,
44:26.8,44:29.8,so negative two hundred and thirty right,,,,,
44:29.8,44:30.5,,,negative thirty,,,
44:30.5,44:31.0,,,yup there you go,,,
44:31.0,44:31.9,,,thanks,,,
44:31.9,44:33.6,,,that's really great,,,
44:33.9,44:35.3,,,negative thirty pause filler,,,
44:36.4,44:38.1,equals two p,,,,,
44:38.1,44:39.9,,,yup two p,,,
44:39.9,44:43.5,,,so then I guess you just divide the things by stuff so,,,
44:43.5,44:45.7,p would equal pause filler negative,,,,,
44:45.7,44:51.0,,,one fifteen negative one fifteen right yeah because yeah yeah,,,
44:51.0,44:53.0,wait yeah wait negative one fifteen,,,,,
44:53.0,44:55.4,,,yup because thirty-eight divided by two is fifteen,,,
44:55.4,44:59.6,,,and two hundred divided by two is a hundred,,,
44:59.6,45:01.1,wait negative,,,,,
45:01.1,45:02.0,,,yeah let me try,,,
45:02.0,45:03.0,oh negative two fifteen,,,,,
45:03.0,45:06.0,I thought you just meant negative two fifty yeah negative two fifty,,,,,
45:06.3,45:07.5,yup that's great yup,,,,,
45:07.5,45:09.6,,,one fifteen to times two,,,
45:09.6,45:14.9,,,I'm just getting zero carry to one three yeah two yeah,,,
45:14.9,45:16.1,,,good we did it,,,
45:16.8,45:17.5,,,high five,,,
45:17.5,45:20.5,,,except we can't high five because we're in like different rooms,,,
45:21.6,45:24.1,all right plus two first,,,,,
45:24.1,45:28.5,,,let's get the weird variables on the same side,,,
45:30.0,45:39.6,,,this is like algebra one o one one o one o one o one o one o one one one one one one one one one one,,,
45:39.6,45:45.7,three six I'm just going to write out like a bum,,,,,
45:46.1,45:48.3,,,yup,,,
45:48.3,45:49.2,oh my gosh,,,,,
45:50.0,45:54.2,,,so one twenty-nine then fifty-three seven three,,,
45:54.2,45:57.7,,,so it would be two,,,
45:57.7,45:59.7,,,wait yeah yeah wait wait,,,
45:59.7,46:00.6,,,is that nine,,,
46:00.9,46:01.6,it's a six,,,,,
46:01.6,46:03.3,yeah this is a nine,,,,,
46:04.1,46:08.7,,,so then yeah it wouldn't be two right because pause filler a two,,,
46:08.7,46:12.0,,,wait oh yeah I think you're multiplying,,,
46:12.0,46:12.8,,,you're multiplying,,,
46:12.8,46:14.7,oh I'm subtracting this,,,,,
46:15.1,46:15.9,,,oh you're subtracting,,,
46:16.4,46:17.4,subtracting,,,,,
46:18.4,46:19.7,,,yeah you're right you are subtracting,,,
46:20.3,46:22.6,,,so yeah you're right then it would be six and then,,,
46:22.6,46:24.3,and then eighty-six right,,,,,
46:24.7,46:25.5,,,yup I think so,,,
46:25.7,46:28.0,,,in fact I'm sure now sure,,,
46:29.1,46:29.7,,,eighty-six,,,
46:29.7,46:32.1,so eighty-six equals two g,,,,,
46:32.3,46:33.6,I think,,,,,
46:33.6,46:38.2,it's pretty nice that it's all twos I think,,,,,
46:38.2,46:38.5,,,yeah,,,
46:38.5,46:40.9,my head and I don't have to,,,,,
46:40.9,46:42.7,anyway eighty-six,,,,,
46:42.7,46:44.6,so to put that on half,,,,,
46:44.6,46:46.3,and then we get forty-three so,,,,,
46:46.3,46:50.6,,,provided we have to do this on numbers that are not stupid,,,
46:50.6,46:53.9,all right and,,,,,
46:54.2,46:55.9,pause filler this seems fun,,,,,
46:55.9,46:57.4,,,M&amp;M (inaudible) so yeah,,,
46:57.4,47:05.8,and then you can also just like do that over there so we get pause filler,,,,,
47:05.8,47:09.8,,,so we know that it'll be two M,,,
47:10.0,47:11.5,,,so we can pause filler just stop,,,
47:11.5,47:16.4,,,and is that so yeah seventy-one minus forty-three,,,
47:16.4,47:17.3,,,whatever that is,,,
47:18.3,47:21.0,,,it would be like twenty-eight,,,
47:21.0,47:26.0,,,just about the best of it I guess,,,
47:26.7,47:30.0,twenty-eight,,,,,
47:30.0,47:34.0,yup twenty-eight equals to pause filler,,,,,
47:34.0,47:38.9,,,which means that yeah,,,
47:39.9,47:40.2,pause filler wait,,,,,
47:40.3,47:46.4,,,fourteen right oh which means oh it's seven time four huh that (inaudible),,,
47:46.6,47:47.5,wait fourteen,,,,,
47:47.5,47:49.3,,,what yeah fourteen,,,
47:49.3,47:50.9,yup yup yeah fourteen,,,,,
47:55.9,47:57.5,,,it's like you addressed on the board,,,
47:57.9,47:59.0,,,you like steal it,,,
47:59.7,48:02.7,anyway pause filler let's add,,,,,
48:03.6,48:06.1,,,oh oh look we have another thing,,,
48:06.6,48:08.6,,,say yeah plus eleven x certainly,,,
48:08.6,48:16.3,,,so so that means that negative sixty-five equals seven,,,
48:16.3,48:16.6,eighteen,,,,,
48:16.8,48:26.3,,,yeah eighteen plus eighteen or seven plus eleven or seven eleven nine eleven,,,
48:26.3,48:30.9,,,pause filler yeah eighteen x minus twenty-five all right,,,
48:31.4,48:34.4,and then that would just be pause filler,,,,,
48:34.4,48:34.8,crap,,,,,
48:34.8,48:36.8,forty,,,,,
48:36.8,48:38.2,,,forty yeah,,,
48:38.4,48:39.8,negative forty negative,,,,,
48:39.8,48:41.0,,,yup negative forty mind you,,,
48:41.0,48:46.1,,,so negative are very important because I mean that's literally twice the difference,,,
48:47.2,48:47.6,,,huh two,,,
48:47.6,48:51.5,and it's eighteen,,,,,
48:51.5,48:54.5,so like eighteen,,,,,
48:55.1,48:59.3,eighteen does not go into forty so,,,,,
48:59.9,49:01.1,,,well you can divide them both by two,,,
49:01.1,49:02.4,,,so you get twenty over,,,
49:02.4,49:05.4,yeah we'll just have to simplify that out,,,,,
49:05.4,49:06.5,,,twenty over nine,,,
49:06.5,49:08.6,,,and I think that's just it twenty over nine,,,
49:09.7,49:11.7,well we can't divide it by three,,,,,
49:11.7,49:13.2,we can't divide it by four,,,,,
49:13.2,49:14.1,we can't divide it,,,,,
49:14.1,49:15.3,,,well you should divide it by four,,,
49:15.3,49:16.8,,,wait does eighteen divide by four,,,
49:18.1,49:20.2,well no four does not go into nine,,,,,
49:21.1,49:21.8,,,okay yeah,,,
49:22.2,49:24.5,yeah so it's just twenty twenty or nine,,,,,
49:24.5,49:28.5,,,just twenty yup negative nine,,,
49:28.5,49:31.2,all right oh it's getting better,,,,,
49:32.0,49:34.3,that's what he said,,,,,
49:34.3,49:36.2,anyway pause filler fifty-six,,,,,
49:36.8,49:39.0,,,so fifty-six plus forty-four,,,
49:39.2,49:40.3,,,hey that's a nice number,,,
49:40.5,49:48.8,,,one hundred,,,
49:48.8,49:50.6,,,it's a preferable number in fact,,,
49:51.3,49:57.1,and then well why don't you look at that two hundred right,,,,,
49:57.4,49:57.9,,,oh it's time,,,
49:58.8,49:59.9,,,oh it's time,,,
50:07.4,50:07.6,okay,,,,,
50:09.7,50:12.0,(inaudible) thank you,,,,,
50:12.0,50:16.3,,,I'll eat the entire thing,,,